City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,walvis bay,-22.9575,14.5053,22.53,57,77,0.4,NA,1681851705
331,barranco,9.5167,-82.7,28.84,67,73,2.12,PA,1681851705
332,hamilton,39.1834,-84.5333,18.88,30,0,7.2,US,1681851705
333,martapura,-3.4167,114.85,25.05,100,100,1.03,ID,1681851705
334,alice town,25.7167,-79.3,23.92,64,31,6.1,BS,1681851705
335,ketchikan,55.3422,-131.6461,9.26,49,0,4.63,US,1681851705
336,maun,-19.9833,23.4167,20.05,37,5,3.0,BW,1681851705
337,kologriv,58.8275,44.3178,3.94,92,87,1.22,RU,1681851705
338,borogontsy,62.6683,131.1683,-6.61,96,100,1.68,RU,1681851705
339,inuvik,68.3499,-133.7218,-11.06,88,100,5.26,CA,1681851705
340,seoul,37.5683,126.9778,10.78,96,20,1.54,KR,1681851705
341,touros,-5.1989,-35.4608,26.25,82,79,3.63,BR,1681851705
342,kapit,2.0167,112.9333,24.03,99,100,0.25,MY,1681851705
343,ahipara,-35.1667,173.1667,20.52,88,98,4.24,NZ,1681851705
344,eyl,7.9803,49.8164,27.61,68,6,4.96,SO,1681851705
345,manavalakurichi,8.1333,77.3,27.45,81,5,1.0,IN,1681851705
346,soyo,-6.1349,12.3689,27.0,80,96,1.3,AO,1681851705
347,baykit,61.67,96.37,-8.18,97,100,1.2,RU,1681851705
348,vardo,70.3705,31.1107,2.99,81,75,8.75,NO,1681851705
349,flagstaff,35.1981,-111.6513,18.11,15,0,9.77,US,1681851705
350,haines junction,60.7522,-137.5108,1.42,81,100,2.35,CA,1681851705
351,stratham,43.024,-70.9137,12.66,53,100,5.14,US,1681851705
352,maraa,-1.8333,-65.3667,26.72,85,100,1.0,BR,1681851705
353,baghmara,23.795,86.2085,31.22,15,0,2.71,IN,1681851705
354,alofi,-19.0595,-169.9187,23.94,23,100,1.54,NU,1681851705
355,monrovia,6.3005,-10.7969,26.87,82,96,3.06,LR,1681851705
356,muromtsevo,56.3724,75.2418,-8.62,70,1,1.7,RU,1681851705
357,safranbolu,41.2508,32.6942,11.49,87,69,1.39,TR,1681851705
358,ratnagiri,16.9833,73.3,26.8,83,5,1.03,IN,1681851705
359,ascension,30.2169,-90.9001,22.26,55,75,2.57,US,1681851705
360,asimion,35.05,25.1,12.43,87,2,2.42,GR,1681851705
361,plerin,48.5425,-2.7798,9.55,84,100,5.66,FR,1681851705
362,tuatapere,-46.1333,167.6833,11.71,87,91,1.16,NZ,1681851705
363,ostrovnoy,68.0531,39.5131,1.41,99,100,2.48,RU,1681851705
